,id_count,UTM_E,UTM_N,Depth_m,geometry
8587,310517,406204.64,7613376.55,0.539,POINT (406204.64 7613376.55)
8588,310518,406206.67,7613376.47,0.4428,POINT (406206.67 7613376.47)
8589,310519,406208.3,7613376.41,0.4347,POINT (406208.3 7613376.41)
8590,310520,406209.92,7613376.35,0.4645,POINT (406209.92 7613376.35)
8591,310521,406211.14,7613376.3,0.5052,POINT (406211.14 7613376.3)
8592,310522,406213.58,7613376.21,0.6095,POINT (406213.58 7613376.21)
8593,310523,406214.76,7613375.05,0.6867,POINT (406214.76 7613375.05)
8594,310524,406216.43,7613376.1,0.6528,POINT (406216.43 7613376.1)
8595,310525,406216.79,7613374.97,0.7001999999999999,POINT (406216.79 7613374.97)
8596,310526,406219.64,7613374.87,0.826,POINT (406219.64 7613374.87)
8597,310527,406221.27,7613374.81,0.8140000000000001,POINT (406221.27 7613374.81)
8598,310528,406222.49,7613374.76,0.7490000000000001,POINT (406222.49 7613374.76)
8599,310529,406224.11,7613374.7,0.878,POINT (406224.11 7613374.7)
8600,310530,406225.74,7613374.64,0.7558,POINT (406225.74 7613374.64)
8601,310531,406228.54,7613373.42,0.6867,POINT (406228.54 7613373.42)
8602,310532,406230.62,7613374.46,0.6637000000000001,POINT (406230.62 7613374.46)
8603,310533,406234.28,7613374.32,0.5553,POINT (406234.28 7613374.32)
8604,310534,406235.91,7613374.26,0.642,POINT (406235.91 7613374.26)
8605,310535,406238.35,7613374.17,0.5824,POINT (406238.35 7613374.17)
8606,310536,406239.57,7613374.12,0.5336,POINT (406239.57 7613374.12)
8607,310537,406240.79,7613374.08,0.4537,POINT (406240.79 7613374.08)
8608,310538,406242.01,7613374.03,0.4645,POINT (406242.01 7613374.03)
8609,310539,406243.63,7613373.97,0.5553,POINT (406243.63 7613373.97)
8610,310540,406244.85,7613373.92,0.5363,POINT (406244.85 7613373.92)
8611,310541,406246.48,7613373.86,0.5579999999999999,POINT (406246.48 7613373.86)
8612,310542,406249.73,7613373.74,0.7463,POINT (406249.73 7613373.74)
8613,310543,406251.72,7613372.55,0.6312,POINT (406251.72 7613372.55)
8614,310544,406253.76,7613372.47,0.6339,POINT (406253.76 7613372.47)
8615,310545,406255.79,7613372.4,0.6542,POINT (406255.79 7613372.4)
8616,310546,406257.42,7613372.34,0.6664,POINT (406257.42 7613372.34)
8617,310547,406259.04,7613372.28,0.6867,POINT (406259.04 7613372.28)
8618,310548,406260.26,7613372.23,0.682,POINT (406260.26 7613372.23)
8619,310549,406262.26,7613371.04,0.5539000000000001,POINT (406262.26 7613371.04)
8620,310550,406264.74,7613372.06,0.5972999999999999,POINT (406264.74 7613372.06)
8621,310551,406266.77,7613371.99,0.6372,POINT (406266.77 7613371.99)
8622,310552,406269.98,7613370.75,0.6989,POINT (406269.98 7613370.75)
8623,310553,406271.24,7613371.82,0.6920999999999999,POINT (406271.24 7613371.82)
8624,310554,406273.23,7613370.63,0.6894,POINT (406273.23 7613370.63)
8625,310555,406274.5,7613371.7,0.7422,POINT (406274.5 7613371.7)
8626,310556,406276.94,7613371.61,0.7558,POINT (406276.94 7613371.61)
8627,310557,406279.38,7613371.51,0.914,POINT (406279.38 7613371.51)
8628,310558,406280.6,7613371.47,0.963,POINT (406280.6 7613371.47)
8629,310559,406282.22,7613371.41,0.987,POINT (406282.22 7613371.41)
8630,310560,406284.26,7613371.33,0.87,POINT (406284.26 7613371.33)
8631,310561,406286.7,7613371.24,0.7328,POINT (406286.7 7613371.24)
8632,310562,406288.65,7613368.93,0.7964,POINT (406288.65 7613368.93)
8633,310563,406290.31,7613369.99,0.8640000000000001,POINT (406290.31 7613369.99)
8634,310564,406293.16,7613369.88,0.7314,POINT (406293.16 7613369.88)
8635,310565,406294.83,7613370.94,0.6677,POINT (406294.83 7613370.94)
8636,310566,406297.27,7613370.84,0.7544,POINT (406297.27 7613370.84)
8637,310567,406299.71,7613370.75,0.7232999999999999,POINT (406299.71 7613370.75)
8638,310568,406301.29,7613369.58,0.7787999999999999,POINT (406301.29 7613369.58)
8639,310569,406303.37,7613370.62,0.6426999999999999,POINT (406303.37 7613370.62)
8640,310570,406304.55,7613369.46,0.5661,POINT (406304.55 7613369.46)
8641,310571,406307.44,7613370.46,0.49570000000000003,POINT (406307.44 7613370.46)
8642,310572,406310.24,7613369.24,0.6596,POINT (406310.24 7613369.24)
8643,310573,406312.27,7613369.17,0.8140000000000001,POINT (406312.27 7613369.17)
8644,310574,406314.31,7613369.09,0.8490000000000001,POINT (406314.31 7613369.09)
8645,310575,406317.15,7613368.98,0.7293999999999999,POINT (406317.15 7613368.98)
8646,310576,406318.78,7613368.92,0.7598,POINT (406318.78 7613368.92)
8647,310577,406321.26,7613369.95,0.7448999999999999,POINT (406321.26 7613369.95)
