,LongitudeDDDDD,LatitudeDDDDD,DepthCm,UTM_E,UTM_N,Depth_m,geometry
338,-149.316,68.6104,103.9,405750.87,7612692.4,1.0390000000000001,POINT (405750.87 7612692.4)
339,-149.316,68.6104,103.0,405752.09,7612692.2,1.03,POINT (405752.09 7612692.2)
340,-149.316,68.6104,99.3,405752.64,7612692.6,0.993,POINT (405752.64 7612692.6)
341,-149.316,68.6104,96.0,405753.24,7612692.3,0.96,POINT (405753.24 7612692.3)
342,-149.316,68.6104,92.9,405753.89,7612691.6,0.929,POINT (405753.89 7612691.6)
343,-149.316,68.6104,84.4,405753.5,7612692.0,0.8440000000000001,POINT (405753.5 7612692)
344,-149.316,68.6104,77.92,405754.59,7612692.1,0.7792,POINT (405754.59 7612692.1)
345,-149.316,68.6104,82.4,405755.35,7612692.3,0.8240000000000001,POINT (405755.35 7612692.3)
346,-149.316,68.6104,70.2,405755.42,7612692.3,0.7020000000000001,POINT (405755.42 7612692.3)
347,-149.316,68.6104,65.37,405756.03,7612692.2,0.6537000000000001,POINT (405756.03 7612692.2)
348,-149.316,68.6104,66.53,405756.89,7612691.8,0.6653,POINT (405756.89 7612691.8)
349,-149.316,68.6104,67.14,405757.9,7612691.6,0.6714,POINT (405757.9 7612691.6)
350,-149.316,68.6104,73.7,405757.98,7612691.8,0.737,POINT (405757.98 7612691.8)
351,-149.316,68.6104,57.2,405758.84,7612691.2,0.5720000000000001,POINT (405758.84 7612691.2)
352,-149.316,68.6104,67.64,405760.4,7612691.3,0.6764,POINT (405760.4 7612691.3)
353,-149.316,68.6104,70.03,405760.94,7612691.1,0.7003,POINT (405760.94 7612691.1)
354,-149.316,68.6104,67.64,405761.53,7612690.7,0.6764,POINT (405761.53 7612690.7)
355,-149.316,68.6104,70.98,405763.99,7612691.2,0.7098,POINT (405763.99 7612691.2)
356,-149.316,68.6104,73.7,405764.85,7612690.4,0.737,POINT (405764.85 7612690.4)
357,-149.316,68.6104,71.64,405766.08,7612690.6,0.7164,POINT (405766.08 7612690.6)
358,-149.316,68.6104,70.31,405767.49,7612690.3,0.7031000000000001,POINT (405767.49 7612690.3)
359,-149.316,68.6104,70.92,405768.24,7612690.3,0.7092,POINT (405768.24 7612690.3)
360,-149.316,68.6104,66.25,405768.98,7612690.1,0.6625,POINT (405768.98 7612690.1)
361,-149.316,68.6104,63.42,405770.33,7612690.0,0.6342,POINT (405770.33 7612690)
362,-149.316,68.6104,60.59,405771.22,7612690.0,0.6059,POINT (405771.22 7612690)
363,-149.316,68.6104,59.31,405771.09,7612690.2,0.5931000000000001,POINT (405771.09 7612690.2)
364,-149.316,68.6104,55.15,405771.9,7612690.2,0.5515,POINT (405771.9 7612690.2)
365,-149.316,68.6104,46.43,405772.98,7612690.1,0.4643,POINT (405772.98 7612690.1)
366,-149.316,68.6104,50.98,405773.11,7612689.7,0.5097999999999999,POINT (405773.11 7612689.7)
367,-149.316,68.6104,41.6,405773.38,7612689.7,0.41600000000000004,POINT (405773.38 7612689.7)
368,-149.316,68.6104,35.65,405774.91,7612688.9,0.3565,POINT (405774.91 7612688.9)
369,-149.315,68.6104,43.37,405776.68,7612689.0,0.4337,POINT (405776.68 7612689)
370,-149.315,68.6104,48.7,405777.62,7612688.8,0.48700000000000004,POINT (405777.62 7612688.8)
371,-149.315,68.6104,59.81,405778.92,7612689.0,0.5981000000000001,POINT (405778.92 7612689)
372,-149.315,68.6104,55.48,405779.3,7612688.4,0.5548,POINT (405779.3 7612688.4)
373,-149.315,68.6104,58.81,405779.62,7612687.8,0.5881000000000001,POINT (405779.62 7612687.8)
374,-149.315,68.6104,55.48,405781.27,7612688.5,0.5548,POINT (405781.27 7612688.5)
375,-149.315,68.6104,56.7,405781.86,7612687.7,0.5670000000000001,POINT (405781.86 7612687.7)
376,-149.315,68.6104,56.87,405782.56,7612688.5,0.5687,POINT (405782.56 7612688.5)
377,-149.315,68.6104,49.7,405783.45,7612688.6,0.49700000000000005,POINT (405783.45 7612688.6)
378,-149.315,68.6104,47.21,405784.47,7612688.6,0.4721,POINT (405784.47 7612688.6)
379,-149.315,68.6104,46.09,405785.05,7612687.8,0.46090000000000003,POINT (405785.05 7612687.8)
380,-149.315,68.6104,50.09,405785.73,7612687.8,0.5009,POINT (405785.73 7612687.8)
381,-149.315,68.6104,45.48,405787.45,7612688.3,0.4548,POINT (405787.45 7612688.3)
382,-149.315,68.6104,42.21,405788.13,7612688.4,0.42210000000000003,POINT (405788.13 7612688.4)
383,-149.315,68.6104,43.65,405789.09,7612688.8,0.4365,POINT (405789.09 7612688.8)
384,-149.315,68.6104,45.65,405790.39,7612688.9,0.45649999999999996,POINT (405790.39 7612688.9)
385,-149.315,68.6104,55.59,405791.47,7612688.9,0.5559000000000001,POINT (405791.47 7612688.9)
386,-149.315,68.6104,51.98,405791.86,7612688.5,0.5197999999999999,POINT (405791.86 7612688.5)
387,-149.315,68.6104,50.48,405793.63,7612688.4,0.5047999999999999,POINT (405793.63 7612688.4)
388,-149.315,68.6104,53.43,405795.45,7612688.2,0.5343,POINT (405795.45 7612688.2)
